"","X","Y","date"
"6239",350371.064538487,574495.523196503,2016-07-25
"6241",353905.787912231,582432.469114146,2016-07-25
"6242",361140.828538556,570412.340425671,2016-07-25
"6243",350353.100149064,586024.278240506,2016-07-25
"6244",350466.438356828,574704.01610875,2016-07-25
"6245",348687.667724985,580500.700768681,2016-07-25
"6246",340878.97088887,589814.518854627,2016-07-25
"6247",360067.959839273,567888.937204734,2016-07-25
"6248",355924.473689123,580600.626359966,2016-07-25
"6249",355820.587924216,580587.592775601,2016-07-25
"6250",351825.576915378,576787.961141228,2016-07-25
"6251",362939.513029381,566713.912346501,2016-07-25
"6252",347129.184265498,586249.867813739,2016-07-25
"6253",355995.266146624,569142.002479031,2016-07-25
"6254",355274.104196821,583908.064334462,2016-07-25
"6255",347301.089165879,579672.851028752,2016-07-25
"6256",353669.008842464,567982.87312747,2016-07-25
"6257",355854.716522046,569044.49019018,2016-07-25
"6258",348812.602069455,586636.886910627,2016-07-25
"6259",360353.586544832,557945.084964865,2016-07-25
"6260",361183.828169506,554300.917974012,2016-07-25
"6261",345711.518020505,587902.509066175,2016-07-25
"6262",347079.844574878,582102.461194431,2016-07-25
"6263",359862.82131181,568101.146978976,2016-07-25
"6264",353635.188324217,566706.054998095,2016-07-25
"6265",359088.324114707,564374.928870162,2016-07-25
"6266",359878.400284529,567442.158378268,2016-07-25
"6267",350197.279983098,578319.795396956,2016-07-25
"6268",356006.199599245,576410.600626796,2016-07-25
"6269",354197.526317133,582887.542192998,2016-07-25
"6270",349477.398133846,581242.013504548,2016-07-25
"6271",351731.964824599,567929.828331664,2016-07-25
"6272",362379.878709013,565989.461818498,2016-07-25
"6273",356052.869677538,591378.451766306,2016-07-25
"6274",355468.565158141,584075.637762562,2016-07-25
"6275",356597.484522752,586164.451309045,2016-07-25
"6276",355033.260751135,563696.152785795,2016-07-25
"6277",353890.845787662,588221.327045628,2016-07-25
"6278",353806.127067747,566974.247875974,2016-07-26
"6279",357074.527608836,559435.045265981,2016-07-26
"6281",362933.694968167,566912.020284492,2016-07-26
"6282",353731.138986832,566917.258855879,2016-07-26
"6283",347845.472353829,580477.553094011,2016-07-26
"6284",355034.496194475,580361.987365396,2016-07-26
"6285",354856.509261737,570131.724511891,2016-07-26
"6286",340878.97088887,589814.518854627,2016-07-26
"6287",353238.31816332,591107.408357771,2016-07-26
"6288",345208.29572118,582633.366032235,2016-07-26
"6289",360259.988691804,568256.879239998,2016-07-26
"6290",363746.332518536,567156.254545346,2016-07-26
"6291",361649.272786382,569327.611314409,2016-07-26
"6292",355893.41871995,569176.415623712,2016-07-26
"6293",354017.963766548,579216.567982685,2016-07-26
"6294",347822.000076183,585387.888388424,2016-07-26
"6295",351656.401728142,576185.265867954,2016-07-26
"6296",350266.215407629,589032.709618623,2016-07-26
"6297",355490.171406206,588520.887544193,2016-07-26
"6298",350995.261325837,590392.041004558,2016-07-26
"6299",363497.289437607,564749.470329272,2016-07-26
"6300",360670.226828692,560392.044993618,2016-07-26
"6301",352227.285209004,593027.085021317,2016-07-26
"6302",356459.147008216,563310.503515482,2016-07-26
"6303",355223.797971353,559028.129554757,2016-07-26
"6304",360965.918297961,564674.47336686,2016-07-26
"6305",366086.581453096,554490.88091632,2016-07-26
"6306",343872.40887745,591226.93276983,2016-07-26
"6307",352251.089578178,569076.434505126,2016-07-26
"6308",354834.538229291,570958.280232926,2016-07-26
"6309",351704.885390411,568030.042244104,2016-07-26
"6310",351656.114361705,568129.433038173,2016-07-26
"6311",350344.527141869,571486.24742623,2016-07-26
"6312",356229.945263549,585515.620380409,2016-07-26
"6313",349308.810509495,588198.70400249,2016-07-26
"6314",345205.297986458,589232.945989072,2016-07-26
"6315",355001.585879958,564905.827794086,2016-07-26
"6316",347970.450049313,585154.409283699,2016-07-26
"6317",361025.634662663,567696.668389409,2016-07-26
"6320",366245.707267363,557302.652444158,2016-07-26
"6322",353734.218601939,588520.603555802,2016-07-27
"6323",353128.842947187,588261.794466696,2016-07-27
"6324",355763.611527972,566550.281853278,2016-07-27
"6325",362240.580578343,570228.899113878,2016-07-27
"6326",357018.738508108,564924.172052195,2016-07-27
"6327",361142.046903661,568103.532554532,2016-07-27
"6328",363251.588056939,562291.309137725,2016-07-27
"6329",354206.965559735,566176.548425244,2016-07-27
"6330",363985.24679572,565517.57390714,2016-07-27
"6331",345466.49533253,583072.642588978,2016-07-27
"6332",350886.495472448,588638.807856472,2016-07-27
"6333",362278.710311932,569840.24285642,2016-07-27
"6334",344428.920663562,583843.159952888,2016-07-27
"6335",354748.889539328,570368.819429373,2016-07-27
"6336",360100.579003997,570731.851549868,2016-07-27
"6337",362896.21010713,566267.118200372,2016-07-27
"6338",357073.622886034,563819.871552839,2016-07-27
"6339",350686.815946163,566620.350235265,2016-07-27
"6340",359941.802926374,557964.956573746,2016-07-27
"6341",355898.293122313,568988.960649887,2016-07-27
"6342",355898.309629069,568986.850371175,2016-07-27
"6343",346625.018869242,581377.041415635,2016-07-27
"6344",355423.074948689,562965.856630361,2016-07-27
"6345",356200.330963766,576718.141334704,2016-07-27
"6346",353449.186208605,587731.140262516,2016-07-27
"6347",346772.597087868,583352.686111376,2016-07-27
"6348",352824.955140119,578684.346311461,2016-07-27
"6349",360721.487680269,563719.930233606,2016-07-27
"6350",354021.909710403,581901.518212131,2016-07-27
"6351",354748.889539328,570368.819429373,2016-07-27
"6352",355258.519457638,559458.801889308,2016-07-27
"6353",361089.999310206,567510.389387299,2016-07-27
"6354",353073.393401618,581927.149120209,2016-07-27
"6355",350852.62776578,583498.977118512,2016-07-27
"6356",348811.663120752,584188.783467635,2016-07-27
"6357",344357.051647408,590926.71045604,2016-07-27
"6358",351900.864744838,567934.718004375,2016-07-27
"6359",351382.712750574,579568.283100017,2016-07-27
"6360",359377.021067255,568664.688253665,2016-07-27
"6361",352101.698316738,568041.031774219,2016-07-27
"6362",349004.651457036,584301.51887092,2016-07-27
"6363",360319.772127556,566047.990159983,2016-07-27
"6364",364161.425738319,562331.503660824,2016-07-27
"6365",359907.98557448,562785.050604341,2016-07-27
"6366",356192.401843559,586739.61651723,2016-07-28
"6367",353416.274802939,591916.722740457,2016-07-28
"6368",351190.073900123,580063.622355219,2016-07-28
"6369",358648.175415317,558494.741223382,2016-07-28
"6370",340870.683177876,589814.471137562,2016-07-28
"6371",356161.376004732,566757.547936761,2016-07-28
"6372",360076.842114296,562789.686523723,2016-07-28
"6373",352532.371737614,569880.556997549,2016-07-28
"6374",351396.990751381,585644.206179438,2016-07-28
"6375",363797.521550921,564921.975428399,2016-07-28
"6376",348559.320964739,569980.180599168,2016-07-28
"6377",347757.64843623,585757.557571154,2016-07-28
"6378",358905.787103502,568932.589076335,2016-07-28
"6379",360446.513602838,572925.520677705,2016-07-28
"6380",352315.045370314,584843.158293687,2016-07-28
"6381",348091.423210542,579228.738603215,2016-07-28
"6382",360145.654652947,572908.094858883,2016-07-28
"6383",359068.564871483,556687.480673726,2016-07-28
